grade,name_clean,sector,sector_clean,ascents,fos_ratio,recommendation,stars
7b,Poseidon Tavan,Poseidon,Poseidon,99,0.54,0.06,3
8a+,Poseidon Tavan,Poseidon,Poseidon,78,0.08,0.09,3
6b+,Takoz,Poseidon,Poseidon,201,0.78,0.07,3
7a+,Toros,Poseidon,Poseidon,3,0.33,0.33,5
7b,Toros,Poseidon,Poseidon,373,0.65,0.05,3
6a+,Ya Sabir,Poseidon,Poseidon,240,0.91,0.12,4
7c,Everyday Rosydays,Reverrance,Reverrance,1,1.0,1.0,5
8b+,Red is dead,Reverrance,Reverrance,1,0.0,1.0,5
5b,Ausflipper,Right cave,Right cave,82,0.93,0.02,2
7c,Blocage orange,Right cave,Right cave,67,0.15,0.05,2
6b,Happy Birthday Tobi,Right cave,Right cave,132,0.78,0.14,3
5b,Lola,Right cave,Right cave,67,0.88,0.02,3
7b+,Maymun salincagi,Right cave,Right cave,40,0.38,0.0,3
7c,Maymun salincagi,Right cave,Right cave,1,0.0,0.0,5
6a+,Mogli,Right cave,Right cave,129,0.8,0.02,2
7a+,Nemo,Right cave,Right cave,222,0.46,0.04,3
6a,Pianist,Right cave,Right cave,75,0.79,0.04,3
5b,Silvie's secret,Right cave,Right cave,63,0.81,0.02,2
5c,Sincap,Right cave,Right cave,72,0.93,0.04,3
6a,Tric tric trac,Right cave,Right cave,131,0.9,0.02,2
6c+,Ce n'est pas bleu,Ruzgarli Left,Ruzgarli Left,1,1.0,0.0,0
7a,Otolastic,rusgarli bahce,Ruzgarli Left,1,1.0,1.0,0
7c+,Animasyon otomatik,Rüzgarli Bahçe,Rüzgarli Bahçe,125,0.06,0.21,4
6a+,Brandia Rossa,Rüzgarli Bahçe,Rüzgarli Bahçe,40,0.88,0.05,2
6c+,C'est ne pas bleau,Rüzgarli Bahçe,Rüzgarli Bahçe,3,0.33,0.0,1
6c+,Ce n'est pas bleau,Rüzgarli Bahçe,Rüzgarli Bahçe,67,0.6,0.12,3
6b+,Ce n'est pas possible,Rüzgarlı Bahçe Left,Rüzgarli Bahçe,12,0.83,0.0,3
6c,Ce n'est pas possible,Rüzgarli Bahçe,Rüzgarli Bahçe,165,0.63,0.16,4
7a+,Dejenerasyon,Rüzgarli Bahçe,Rüzgarli Bahçe,141,0.54,0.17,3
7a+,Deyenenesyan,Rüzgazli,Rüzgarli Bahçe,1,1.0,0.0,0
6b,Flying Dutchman,Rüzgarli Bahçe,Rüzgarli Bahçe,197,0.85,0.09,3
7a+,Günah Yuvası,Ruzgarli Bahce,Rüzgarli Bahçe,27,0.59,0.07,3
7a+,Kartal Yuvası,Ruzgarli Bahce,Rüzgarli Bahçe,38,0.42,0.13,3
7a,Karınca Adası,Ruzgarli Bahce,Rüzgarli Bahçe,305,0.64,0.13,3
7b+,Kaybedenler Klübü,Rüzgarli Bahce Right,Rüzgarli Bahçe,42,0.45,0.17,4
7b+,Kaybedenler Kulubu,Ruzgarli Bahce,Rüzgarli Bahçe,25,0.4,0.16,4
6b,Keine Trane,Ruzgarli Bahce,Rüzgarli Bahçe,110,0.91,0.11,3
7a+,Kent FM,Ruzgarli Bahce,Rüzgarli Bahçe,59,0.64,0.2,4
8a,Monkey Business,Rüzgarli Bahçe,Rüzgarli Bahçe,123,0.07,0.28,4
7b+,New Fucking Generation,Rüzgarli Bahce Right,Rüzgarli Bahçe,92,0.38,0.17,4
7a,No name,Rüzgarli Bahçe,Rüzgarli Bahçe,1,0.0,0.0,4
7a,Otolastik,Rüzgarli Bahçe,Rüzgarli Bahçe,265,0.67,0.1,3
6c+,Ruzgarli Bahce,Ruzgarli Bahce,Rüzgarli Bahçe,137,0.75,0.14,3
6c+,Rüzgarlı Bahçe,Rüzgarli Bahçe,Rüzgarli Bahçe,32,0.81,0.13,4
8b,Scrotum Maximum,Ruzgarli Bahce,Rüzgarli Bahçe,20,0.05,0.1,3
7b,Uzun ihsan,Ruzgarli Bahce,Rüzgarli Bahçe,197,0.37,0.24,4
7a+,right and left to cést pas bleau,Rüzgarli Bahçe,Rüzgarli Bahçe,8,0.38,0.38,4
7b,right to cést pas bleau,Rüzgarli Bahçe,Rüzgarli Bahçe,6,0.5,0.5,4
7b+,Absinth,Sandal,Sandal,4,0.25,0.25,4
6a+,Alprösli,Sandal,Sandal,8,0.75,0.5,4
7a,Bana Gel,Sandal,Sandal,7,0.71,0.29,4
6c+,Hediye,Sandal,Sandal,6,0.5,0.33,3
5c,Hoş Geldiniz,Sandal,Sandal,1,1.0,0.0,5
7b,Künefe,Sandal,Sandal,8,0.13,0.38,4
6c,Sandal,Sandal,Sandal,15,0.87,0.33,4
5c,Southern Comfort,Sandal,Sandal,2,1.0,0.5,5
6b,Tesoro mio,Sandal,Sandal,4,0.75,0.5,4
5c,Alaaddin'in lambasi,Sarkit,Sarkit,15,0.86,0.0,3
6a,Alaaddin'in lambasi,Sarkit,Sarkit,59,0.88,0.03,3
5c,Alladin in Lambasi,Sarkit,Sarkit,2,1.0,0.0,0
7b+,Back on funky planet,Sarkit,Sarkit,220,0.57,0.21,4
7a,Big blind,Sarkit,Sarkit,363,0.58,0.08,3
7a,Big blind L1,Sarkit Left,Sarkit,7,0.43,0.0,4
6b,Bizon,Sarkit,Sarkit,349,0.84,0.09,3
5a,Black sheep,Sarkit,Sarkit,1,0.0,0.0,0
6c,Caf Caf,Sarkit,Sarkit,326,0.79,0.03,2
6c+,Colonist,Sarkit,Sarkit,250,0.78,0.16,4
8a+,Colonist,Sarkit,Sarkit,106,0.18,0.14,4
4b,Cosmic Girl,Sarkit Left,Sarkit,3,1.0,0.0,5
5a,Cosmic Girl,Sarkit,Sarkit,67,0.82,0.03,3
6a+,Cristal crag,Sarkit,Sarkit,35,0.8,0.14,4
6a,Drama Queen,Sarkit,Sarkit,11,1.0,0.09,4
7b+,Drama Queen,Sarkit,Sarkit,5,0.2,0.0,3
6c,Drill instructor,Sarkit,Sarkit,150,0.8,0.09,3
7a+,Drill instructor,Sarkit,Sarkit,5,0.8,0.0,4
8c,Drop City,Sarkit,Sarkit,10,0.1,0.1,4
7a,Fa fa fa,Sarkit,Sarkit,10,0.8,0.2,4
7c,Finger prostitution,Sarkit,Sarkit,151,0.62,0.06,3
7c+,Flat Rate,Sarkit,Sarkit,129,0.25,0.05,3
7a+,Fragile Dreams,Sarkit,Sarkit,19,0.63,0.0,2
7a+,Geyikbayiri Jazz band,Sarkit,Sarkit,12,0.5,0.08,3
7b+,Geyikbayırı Games,Sarkit,Sarkit,178,0.45,0.1,4
7c,Geyikbayırı Games (2. pitch),Sarkit,Sarkit,3,0.0,0.67,4
6c,Gladutschki,Sarkit,Sarkit,198,0.76,0.04,3
7b+,Gladutschki,Sarkit,Sarkit,8,0.5,0.25,4
7c+,High Hopes,Sarkit,Sarkit,76,0.48,0.03,3
7b+,Huyaki Akbar,Sarkit,Sarkit,1,1.0,0.0,0
6b+,Imagination,Sarkit Sol,Sarkit,64,0.66,0.02,3
7a,Imagination,Sarkit,Sarkit,553,0.78,0.06,3
7a,Imagination 2.Seillänge,Sarkit,Sarkit,1,1.0,0.0,0
6b+,Imagination first pitch,Sarkit,Sarkit,7,1.0,0.0,4
7b+,Inner smile,Sarkit,Sarkit,357,0.33,0.12,4
7a+,Ja Ja City,Sarkit,Sarkit,396,0.79,0.16,4
7b,Jakuzi,Sarkit,Sarkit,4,0.0,0.0,5
7b+,Just smile,Sarkit,Sarkit,5,0.4,0.0,4
6b+,Little Miss Sunshine Ext,Sarkit,Sarkit,3,0.67,0.0,0
5a,Little girl sunshine,Sarkit,Sarkit,2,1.0,0.0,0
6b+,Little miss sunshine,Sarkit,Sarkit,59,0.92,0.05,4
8a,Local Tourist,Sarkit,Sarkit,115,0.17,0.11,4
6b,Lu,Sarkit,Sarkit,369,0.75,0.09,3
8b,Luke Skywalker,Sarkit,Sarkit,33,0.09,0.06,3
6b+,Melodram,Sarkit,Sarkit,3,0.0,0.33,5
7c+,Melodram extantion,Sarkit,Sarkit,1,0.0,0.0,0
8a,Melodram extantion,Sarkit,Sarkit,1,0.0,0.0,0
7b+,Melting souls,Sarkit,Sarkit,271,0.64,0.14,4
6c+,Mezarlariniza tukuricem,Sarkit,Sarkit,1,1.0,0.0,5
7a+,Mikrop,Sarkit,Sarkit,11,0.46,0.0,2
6a,N. N,Sarkit,Sarkit,1,1.0,0.0,3
7c+,Okrimono,Sarkit,Sarkit,130,0.46,0.09,4
8b,Olympos Games,Sarkit,Sarkit,90,0.2,0.08,4
8b,Over the top,Sarkit,Sarkit,68,0.04,0.27,4
7a+,Poker Face,Sarkit,Sarkit,189,0.58,0.07,3
7a+,Psycho Shepherd,Sarkit,Sarkit,180,0.59,0.06,4
7c,Psycho killer,Sarkit,Sarkit,46,0.3,0.09,3
7b+,Pusht Bush,Sarkit,Sarkit,333,0.66,0.14,4
5c,Qu'est-ce que c'est,Sarkit,Sarkit,4,0.75,0.0,0
7b,Qu'est-ce que c'est extension,Sarkit,Sarkit,6,0.5,0.0,4
8a,Rafsta Games,Sarkit,Sarkit,8,0.0,0.13,4
7b,Ramazotti Club,Sarkit,Sarkit,1,1.0,0.0,5
8a+,Requiem,Sarkit,Sarkit,8,0.13,0.0,2
6c,Retsa,Sarkit,Sarkit,238,0.74,0.11,3
8a,Sarkıt  Souls,Sarkit,Sarkit,209,0.3,0.12,4
6b+,Saxafon,Sarkit,Sarkit,595,0.66,0.2,4
7b,Saxafon-Skyline,Sarkit,Sarkit,1,0.0,0.0,5
6c,Siesta,Sarkit,Sarkit,41,0.81,0.1,3
6b+,Sirdan Dolmasi,Sarkit,Sarkit,153,0.72,0.06,3
7c,Skyline,Sarkit,Sarkit,143,0.35,0.17,4
6a,SulCocugü,Sarkit,Sarkit,1,1.0,0.0,3
6a,Süt Cocugu,Sarkit,Sarkit,258,0.84,0.04,3
6b+,Süt Cocugu,Sarkit,Sarkit,1,1.0,0.0,3
6b+,Uckagitci Ask,Sarkit,Sarkit,71,0.67,0.04,3
7b,Viagra,Sarkit,Sarkit,1,1.0,0.0,0
7b,Viagra cocugu,Sarkit,Sarkit,237,0.69,0.06,3
7c+,White Spirit,Sarkit,Sarkit,43,0.26,0.05,4
6a+,Working Class,Sarkit,Sarkit,158,0.8,0.0,2
6c+,Yagmur Duasi,Sarkit,Sarkit,142,0.8,0.16,4
7c,Yankee go home,Sarkit,Sarkit,20,0.5,0.0,2
7a,Yorma beni,Sarkit,Sarkit,51,0.8,0.02,3
7a+,Zalia,Sarkit,Sarkit,316,0.6,0.06,3
6a,between cosmic girl and imagination,Sarkit,Sarkit,2,0.5,0.5,5
7a,el rostollet,Sarkit,Sarkit,36,0.67,0.08,2
6b,imagination L1,Sarkit,Sarkit,9,0.67,0.0,4
7a+,neue Route Cave,Sarkit,Sarkit,1,1.0,0.0,3
6b+,Üçkağitçi aşik,Sarkit,Sarkit,9,1.0,0.0,3
8a,Game of trance,Sikret Sektor,Sikret Sektor,1,1.0,1.0,0
5a,"1,5",sincap 2,Sincap,1,1.0,0.0,0
6a,"1,5",Sincap,Sincap,2,0.5,0.0,0
5a,7,Sincap,Sincap,1,1.0,0.0,0
6a,Alzheimers Onsight,Sincap,Sincap,9,0.89,0.11,4
6b,Blame It On The Boogie,Sincap,Sincap,17,0.82,0.06,4
5a,Dali,Sincap,Sincap,9,0.89,0.11,3
5a,Deep troat,Sincap,Sincap,10,0.9,0.0,3
6a,Dicke Nudel,Sincap 3,Sincap,8,1.0,0.0,3
5b,Fak Fakir,Sincap,Sincap,16,1.0,0.13,3
6c,Fanta 4,Sincap,Sincap,11,0.09,0.18,4
6b,Kapten Hook,Sincap,Sincap,3,0.0,0.0,4
5c,Katainsche's Dance,Sincap,Sincap,14,0.86,0.07,3
5b,Kind a like van gogh,Sincap,Sincap,8,0.88,0.0,4
5b,Luna Star,Sincap,Sincap,15,0.93,0.0,5
6b,Marlboro man,Sincap,Sincap,2,0.5,0.5,4
5c,Miss mob,Sincap,Sincap,9,1.0,0.0,3
5a,Picasso Draws the Line,Sincap 3,Sincap,11,0.82,0.27,3
6a+,Strawberry Fields,Sincap,Sincap,28,0.93,0.07,3
5a,Y left,Sincap,Sincap,1,1.0,0.0,1
5a,Y right,Sincap,Sincap,1,1.0,0.0,1
6a+,kleines scharfes Ding,Sincap,Sincap,1,1.0,0.0,0
5b,3D Channe,Teras,Teras Left,4,0.5,0.0,3
6c,Gozleme Station,Teras Left,Teras Left,11,0.36,0.18,3
6b,Hobbitt,Teras Right,Teras Left,29,0.83,0.11,4
5c,Kopekler Bale Yapmaz,Teras Left,Teras Left,3,0.33,0.0,0
6a+,No Reservations,Teras,Teras Left,8,0.88,0.0,1
6b,Sensitive meatball,Teras Left,Teras Left,13,0.46,0.08,3
6b+,Bienal,Toki,Toki,13,0.69,0.0,3
7b,Bienal,Toki,Toki,1,0.0,0.0,3
7b,Bienal Extantion,Toki,Toki,2,0.0,0.0,3
6b,Fake Alpinist,Toki,Toki,28,0.96,0.11,3
6b+,KAYIP DUNYA,Toki,Toki,30,0.87,0.07,3
6a+,La porte des Pondes,Toki,Toki,48,0.88,0.07,3
6c,The last world,Toki,Toki,4,0.75,0.0,0
6c+,The last world,Toki,Toki,14,0.79,0.0,2
5a,Toki,Unknown Sector,Toki,5,0.6,0.0,0
6c,Toki,Toki,Toki,39,0.72,0.1,3
6c,Zlatni Dukat,Toki,Toki,34,0.53,0.15,4
6b,brazil carnavaller,Toki,Toki,1,1.0,0.0,0
6b,les portes des pondes,Toki,Toki,3,1.0,0.0,0
7b+,Airbnb Çılgınlığı,Top Alanı,Top Alanı,5,0.0,0.0,4
6c,Alkolika,Top Alanı,Top Alanı,23,0.61,0.31,4
6c+,Altin Kizlar,Top Alanı,Top Alanı,32,0.66,0.22,4
7c,Aristokrats,Top Alanı,Top Alanı,7,0.14,0.0,3
7b,Ciğerim Söndü,Top Alanı sağ,Top Alanı,7,0.57,0.14,3
7a,Code of conduct,Top Alanı,Top Alanı,27,0.37,0.19,4
6a+,Deniz,Top Alanı sağ,Top Alanı,6,0.83,0.0,5
7a+,Euro 17,Top Alanı sağ,Top Alanı,4,0.75,0.0,5
5c,Foxy lady,Top Alanı,Top Alanı,2,1.0,0.0,3
5b,Gündönümü,Top Alanı,Top Alanı,1,1.0,0.0,3
7a,Hadi Hadi,Top Alanı,Top Alanı,36,0.75,0.11,4
6c,Kara Büyü,Top Alanı sağ,Top Alanı,9,0.67,0.11,3
5c,Kuyruksuz uçurtma,Top Alanı,Top Alanı,8,1.0,0.0,5
5c,KÖSEYI DÖNECEGIM,Top Alanı,Top Alanı,1,1.0,1.0,5
7b+,Müdür,Top Alanı sağ,Top Alanı,9,0.33,0.11,4
7b,Personal Jesus,Top Alanı,Top Alanı,32,0.59,0.06,4
7b+,Peugeot J9,Top Alanı,Top Alanı,20,0.2,0.1,4
5c+,Plandemic,Top Alanı,Top Alanı,6,1.0,0.0,0
6b,Poker Face,Top Alanı,Top Alanı,12,1.0,0.17,3
6b,Poker yüzlü,Top Alanı,Top Alanı,2,1.0,0.0,0
7b,Pour some sugar on me,Top Alanı sağ,Top Alanı,3,1.0,0.33,4
7a+,Tenere,Top Alanı,Top Alanı,15,0.53,0.2,4
8a,Whiplash,Top Alanı sağ,Top Alanı,7,0.14,0.14,4
6b,code for ethics,Top Alanı,Top Alanı,34,0.77,0.23,4
5c,Çingene pilici,Top Alanı,Top Alanı,11,1.0,0.09,5
7b,Ölü Yatırım,Top Alanı sağ,Top Alanı,6,0.17,0.0,2
6a+,İki Soğuk Biram Var Abi,Top Alanı,Top Alanı,16,0.88,0.06,4
6a+,İncinmişsin,Top Alanı,Top Alanı,19,0.74,0.21,4
7b+,Şeytan Tüyü,Top Alanı,Top Alanı,8,0.25,0.13,3
6a,60 is the 30,Trebenna east,Trebenna West,27,0.89,0.11,2
7c,Akumulator,Trebenna West,Trebenna West,10,0.1,0.0,4
6c,Akıntıya Karşı Yüzmek,Trebenna West,Trebenna West,1,0.0,0.0,0
5c,An.Ni.Ka.,Trebenna east,Trebenna West,2,0.5,0.5,1
7c,Anaconda,Trebenna West,Trebenna West,117,0.33,0.17,4
6b,Aquaduct,Trebenna West,Trebenna West,286,0.76,0.07,3
6b+,Aquaduct 1SL,Trebenna,Trebenna West,3,0.33,0.0,0
7b+,Aquaduct l2,Trebenna,Trebenna West,9,0.33,0.11,3
8c,Aquaduct l2,Trebenna West,Trebenna West,3,0.0,0.67,4
6b,Aquaplan,Trebena West,Trebenna West,1,1.0,0.0,0
6b+,Aquaplan,Trebenna West,Trebenna West,297,0.75,0.08,3
8a,Aquaplan,Trebenna West,Trebenna West,1,1.0,0.0,0
6b+,Arkadan,Trebenna West,Trebenna West,297,0.87,0.09,3
6a+,Avec Vue Sur La Mer,Trebenna West,Trebenna West,33,0.85,0.12,3
7c,Be yourself,Trebenna West,Trebenna West,144,0.45,0.13,4
8a+,Berkin Anisina,Trebenna West,Trebenna West,2,0.0,0.0,4
7a+,Bermuda Dreieck Extension,Trebenna east,Trebenna West,5,0.6,0.0,2
6b+,Bermuda Preieck,Trebenna east,Trebenna West,8,0.88,0.0,2
7a,Bermuda Preieck,Trebenna east,Trebenna West,6,0.5,0.5,4
7a+,Bermuda Preieck,Trebenna east,Trebenna West,34,0.56,0.03,3
6b+,Bermuda pereieck (1p),Trebenna east,Trebenna West,2,0.5,0.5,4
6b+,Biscolatta,Trebenna east,Trebenna West,8,0.75,0.25,4
7a,Bizim Canimiz Yanmaz Gardas,Trebenna West,Trebenna West,183,0.78,0.07,3
7a,Bizim Canmiz,Trebenna West,Trebenna West,1,1.0,0.0,0
7c,Black Sabbath,Trebenna West,Trebenna West,80,0.26,0.14,3
7c,Black elephant,Trebenna east,Trebenna West,34,0.41,0.03,3
6a,Bolder Boyz,Trebenna east,Trebenna West,6,1.0,0.0,3
8a+,Boncuk power,Trebenna West,Trebenna West,30,0.1,0.03,3
6a,Bone bridge,Trebenna West,Trebenna West,88,0.84,0.13,3
6a+,Choreographie violente,Trebenna West,Trebenna West,103,0.85,0.06,2
6a,Conglomarist,Trebenna east,Trebenna West,3,1.0,0.0,4
6a+,Crack Pipe,Trebenna east,Trebenna West,22,0.96,0.09,4
6c+,Dance with the goats,Trebenna east,Trebenna West,25,0.96,0.16,3
8c,Devers Royale,Trebenna West,Trebenna West,12,0.08,0.25,3
7b,Diplomarbeit,Trebenna West,Trebenna West,519,0.3,0.17,4
5a,Dirty route,Trebenna new,Trebenna West,2,1.0,0.0,0
6c+,Don't eat my house,Trebenna West,Trebenna West,119,0.77,0.09,3
7b+,Duracell,Trebenna West,Trebenna West,117,0.56,0.12,4
8a,Dynamic Dynamite,Trebenna West,Trebenna West,11,0.0,0.0,2
6c,East End,Trebenna east,Trebenna West,36,0.78,0.23,4
6c+,Eclipse,Trebenna West,Trebenna West,246,0.74,0.1,3
7b,Eclipse,Trebenna West,Trebenna West,1,1.0,0.0,0
6a+,Eclipse 1p,Trebenna West,Trebenna West,24,0.92,0.08,3
7b+,El Culto A La Vida,Trebenna West,Trebenna West,14,0.29,0.07,2
7a,Eneco's last dance,Trebenna West,Trebenna West,92,0.55,0.09,4
7c,Escape to paradise,Trebenna West,Trebenna West,14,0.21,0.0,3
6b+,Fight the butcher,Trebenna West,Trebenna West,219,0.74,0.05,2
7a,Fight the butcher,Trebenna West,Trebenna West,348,0.7,0.08,3
7c+,Fixed draws,Trebenna,Trebenna West,1,1.0,0.0,0
8a,Flame of Fame,Trebenna West,Trebenna West,100,0.07,0.04,3
5c,Flower Tower,Trebenna West,Trebenna West,155,0.87,0.1,3
7a+,Flower Tower,Trebenna West,Trebenna West,99,0.71,0.03,3
7a,Freedom is a Battle,Trebenna West,Trebenna West,781,0.66,0.1,3
8a+,Freedom is a Battle,Trebenna West,Trebenna West,109,0.13,0.12,4
7b,Gathering,Trebenna,Trebenna West,1,1.0,0.0,0
7b+,Gathering,Trebena West,Trebenna West,12,0.67,0.17,3
8a,Go Milk a Cambodian,Trebenna,Trebenna West,1,0.0,0.0,0
7c+,Goikalde berrikoa,Trebenna West,Trebenna West,1,0.0,0.0,5
6b+,Grashüpper,Trebenna West,Trebenna West,16,0.81,0.07,3
7a,Grashüpper,Trebenna West,Trebenna West,2,0.5,0.0,0
7b,Greek Gift,Trebenna West,Trebenna West,433,0.49,0.15,4
7a+,Gretel,Trebena West,Trebenna West,1,1.0,1.0,5
7b+,Gretel,Trebenna West,Trebenna West,95,0.34,0.05,3
6b,Hansel,Trebenna West,Trebenna West,102,0.7,0.03,3
8b,Happy End,Trebenna West,Trebenna West,25,0.04,0.04,4
6b+,Happy Hilty,Trebenna West,Trebenna West,189,0.67,0.04,2
7c+,Horny Horse Extension,Trebenna West,Trebenna West,3,0.0,0.0,4
8a+,Hydrofusion,Trebenna West,Trebenna West,36,0.08,0.14,3
7b+,Ihlamur,Trebenna east,Trebenna West,30,0.37,0.3,4
5c,Ihlamur (1p),Trebenna east,Trebenna West,5,1.0,0.2,4
8a+,Ikarus,Trebenna West,Trebenna West,162,0.1,0.06,3
7b+,Insider,Trebenna West,Trebenna West,9,0.0,0.22,4
6c+,Into the wild,Trebenna West,Trebenna West,148,0.6,0.1,3
7c,Into the wild,Trebenna West,Trebenna West,99,0.47,0.06,3
7c+,Into the wild extension,Trebenna West,Trebenna West,2,0.5,0.0,5
7a,Jimnastik,Trebenna,Trebenna West,1,0.0,0.0,3
7b,Judas,Trebenna West,Trebenna West,80,0.54,0.1,3
7b,Kalhi cat,Trebenna east,Trebenna West,31,0.52,0.2,4
6a+,Kalhi cat (1p),Trebenna east,Trebenna West,7,0.71,0.14,3
7b+,Kap Horn,Trebenna east,Trebenna West,48,0.42,0.25,4
7c,Kap Horn,Trebenna,Trebenna West,14,0.43,0.0,4
6b,Kathi Cat (frist pitch),Trebenna east,Trebenna West,4,0.75,0.0,3
8b,King Connection,Trebenna West,Trebenna West,12,0.17,0.08,3
7c+,Korona,Trebenna West,Trebenna West,20,0.45,0.05,3
7b+,La vie en rose,Trebenna West,Trebenna West,135,0.56,0.1,4
6c,Latte Tsunami,Trebenna West,Trebenna West,455,0.72,0.07,3
6a,Left to Biscolatta,Trebenna east,Trebenna West,2,1.0,0.5,5
6c+,Left to the Sucker Punched,Trebenna West,Trebenna West,4,0.75,0.0,3
7c+,Leon,Trebenna West,Trebenna West,100,0.12,0.05,3
7a+,Life is what you choose,Trebenna West,Trebenna West,253,0.46,0.16,3
5b,Lila launabar,Trebenna West,Trebenna West,39,0.85,0.08,3
8b,Losing My Religion,Trebenna West,Trebenna West,49,0.0,0.16,4
5c,Lycian Alpinist,Trebenna West 4,Trebenna West,44,0.73,0.07,3
6b+,Lycian Alpinist,Trebenna West,Trebenna West,252,0.81,0.07,3
7a+,Lycian Alpinist,Trebenna West Orta,Trebenna West,3,0.67,0.33,3
5c,Lycian Highway,Trebenna West,Trebenna West,4,0.75,0.25,0
6a,Lycian Highway,Trebenna West 4,Trebenna West,93,0.85,0.25,4
7b,Lycian Highway,Trebenna West,Trebenna West,653,0.7,0.13,4
6a,Lycian Highway - 1st Pitch,Trebenna West,Trebenna West,23,0.96,0.17,4
6a+,Maja,Trebenna West,Trebenna West,301,0.79,0.04,3
7b+,Maja extension,Trebenna West,Trebenna West,5,0.2,0.0,3
7b,Matbaim,Trebenna West,Trebenna West,187,0.88,0.12,3
7b+,N.N. (7b+/7c),Trebenna West,Trebenna West,1,0.0,0.0,5
7b,N.N. (Some roof with jamming at top),Trebenna West,Trebenna West,1,1.0,0.0,3
7a,N.N. (house),Trebenna West,Trebenna West,1,1.0,0.0,5
7a,N.N. (new 06-06-08),Trebenna,Trebenna West,1,1.0,0.0,3
6b+,N.N. (right from Eclipse),Trebenna West,Trebenna West,1,1.0,0.0,0
7b+,N.N. 18,Trebenna West left,Trebenna West,1,1.0,1.0,0
7c,Nasenbar,Trebenna West,Trebenna West,147,0.4,0.2,4
7a+,New route right of Sucker Punched,Trebenna West,Trebenna West,2,0.5,0.0,3
7a,NewLongOne,Trebenna east,Trebenna West,1,1.0,0.0,5
5a,Nightscapes,Trebenna West,Trebenna West,33,0.88,0.13,4
7c,No Money no dance,Trebenna West,Trebenna West,461,0.56,0.13,4
7a,No heroes,Trebenna West,Trebenna West,6,0.67,0.17,5
6c+,No woman no cry,Trebenna West,Trebenna West,38,0.79,0.21,3
5c,Nord Passat,Trebenna east,Trebenna West,7,0.71,0.43,4
7a,Ny tur,Trebenna West,Trebenna West,1,1.0,0.0,1
5c,Oh la la,Trebenna West,Trebenna West,89,0.91,0.06,2
7b+,Orient Express,Trebenna West,Trebenna West,207,0.54,0.15,4
8a,Orient Express Extension,Trebenna West,Trebenna West,3,0.0,0.33,4
7c,Out of control,Trebenna West,Trebenna West,56,0.25,0.14,3
5c,Phallus diaboli,Trebenna West,Trebenna West,164,0.74,0.04,3
7c+,Phallus diaboli,Trebenna west 3,Trebenna West,6,0.17,0.17,4
7a+,Pharao's curse,Trebenna West,Trebenna West,2,0.5,0.5,3
7b,Pharao's curse,Trebenna east,Trebenna West,13,0.39,0.15,3
6a,Pink Panther,Trebenna West,Trebenna West,84,0.73,0.1,3
7b,Pink power,Trebenna West,Trebenna West,201,0.66,0.11,3
8a,Predators,Trebenna east,Trebenna West,15,0.07,0.13,4
5c,Predators (1p),Trebenna east,Trebenna West,4,1.0,0.25,4
6c,Problem Yok,Trebenna,Trebenna West,6,0.33,0.0,2
7c,Problem Yok,Unknown Sector,Trebenna West,2,0.5,0.0,4
8b,Professur,Trebenna West,Trebenna West,12,0.0,0.0,3
7c+,Pumping on big Mother's Breasts,Trebenna West,Trebenna West,195,0.12,0.14,4
7c+,Raki on the rocks,Trebenna West,Trebenna West,76,0.17,0.13,4
4a,Raki on the rocks (1p),Trebenna West,Trebenna West,5,0.8,0.2,4
5a,Ranger travel,Trebenna,Trebenna West,13,1.0,0.07,4
6a+,Ranger travel,Trebenna West,Trebenna West,82,0.82,0.01,2
6c+,Ranger travel,Trebenna West Orta,Trebenna West,25,0.64,0.12,3
7b,Rattle Snake Saloon,Trebenna West,Trebenna West,519,0.42,0.1,3
6b,Red Tank,Trebenna,Trebenna West,20,0.8,0.15,3
7a+,Red Tank,Trebenna east,Trebenna West,32,0.62,0.03,3
8a,Richtfest,Trebenna West,Trebenna West,169,0.21,0.13,4
8b,Rock Palace,Trebenna West,Trebenna West,14,0.21,0.21,4
6b,Rocket Pie,Trebenna east,Trebenna West,27,0.93,0.11,3
7b+,Rodeo on black,Trebenna West,Trebenna West,51,0.45,0.08,3
7b+,S - class,Trebenna,Trebenna West,1,1.0,0.0,0
7b+,S-Klasse,Trebenna West,Trebenna West,68,0.44,0.09,4
7c,S-Klasse,Trabenna,Trebenna West,1,0.0,0.0,5
7a,Sakiznine,Trebenna West,Trebenna West,183,0.76,0.09,3
8b+,Sarpedon,Trebenna West,Trebenna West,27,0.0,0.11,4
7a+,Save planet kill yourself,Trebenna West,Trebenna West,248,0.71,0.08,3
7a+,Save the planet,Trebenna West,Trebenna West,9,0.78,0.11,3
6a+,Save the planet kill yourself,Trebenna West,Trebenna West,75,0.85,0.11,3
7a+,Save the planet kill yourself,Trebenna,Trebenna West,21,0.76,0.09,4
5b,Second Live,Trebenna West,Trebenna West,36,0.83,0.06,3
6c+,Second Live,Trebenna West,Trebenna West,27,0.63,0.0,3
7c+,Sheep in sheeps clothing,Trebenna West,Trebenna West,44,0.21,0.07,4
6a,Star line,Trebenna West,Trebenna West,101,0.84,0.15,4
6c+,Starten på Anaconda,Trebenna West,Trebenna West,1,0.0,0.0,3
7a,Sucker Punched,Trebenna West,Trebenna West,482,0.55,0.07,3
7c+,Sucker Punched,Trebenna West,Trebenna West,42,0.19,0.02,3
