grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
5c,Babylon,,Geyik,Geyik,28,100 %,4 %,3
6b+,Osterweiterung,,Heart,Heart,28,54 %,7 %,3
6b+,Wild Child,,Alaaddin,Alaaddin,28,82 %,11 %,3
6a+,Strawberry Fields,,Sincap,Sincap,28,93 %,7 %,3
6b,Hobbitt,,Teras Right,Teras Left,28,82 %,11 %,4
6c+,T.H.C.,,Trebenna east,Trebenna West,28,43 %,14 %,3
6b,Fake Alpinist,,Toki,Toki,28,96 %,11 %,3
6c+,Squirrel Nut Zippers,,Akdeniz,Akdeniz,28,86 %,7 %,4
5a,Sakson stili,,Cesme,Cesme,27,82 %,4 %,4
5c,Pablo escobar,,Küllüin,Küllüin,27,96 %,0 %,3
8b+,Sarpedon,,Trebenna West,Trebenna West,27,0 %,11 %,4
6a+,Overdose,,Geyik,Geyik,27,89 %,4 %,4
6a,muzmin bekar,,Ottoman,Ottoman,27,100 %,0 %,3
7b+,three happy three friends,,Alabalik balkon 4,Alabalik,27,48 %,11 %,4
7a+,Blood Sweat and Tears,,Gizmo,Gizmo,27,96 %,7 %,3
7a+,Günah Yuvası,,Ruzgarli Bahce,Rüzgarli Bahçe,27,59 %,7 %,3
7c,Patagonia,,Patagonia,Patagonia,27,11 %,19 %,4
6b,Rocket Pie,,Trebenna east,Trebenna West,27,93 %,11 %,3
7a,Sapiens,,Mevlana,Mevlana,27,37 %,11 %,4
7a,Code of conduct,,Top Alanı,Top Alanı,27,37 %,19 %,4
7a,Desire,,Cesme,Cesme,26,81 %,12 %,4
6c+,Big Wallhalla,,Güzel Manzara,Güzel Manzara,26,96 %,8 %,4
7b+,Red Dragon,,Dragon,Dragon,26,19 %,12 %,4
8a+,Bloody Knuckles,,Alabalik,Alabalik,26,4 %,12 %,4
7a,Scorpion,,Gizmo,Gizmo,26,46 %,4 %,3
8a,Corridors of Madness,,Koridor,Koridor,26,4 %,19 %,4
6c+,Semazen,,Ottoman,Ottoman,26,58 %,31 %,4
6b+,KAYIP DUNYA,,Toki,Toki,26,89 %,8 %,3
6c,Bye Bye George,,Geyik,Geyik,26,81 %,8 %,4
6b,Lanet,,Echoes,Echoes,26,81 %,4 %,3
6c,Action type,,Ottoman,Ottoman,26,69 %,8 %,3
8a,Metronom,,Echoes,Echoes,26,4 %,8 %,4
5c,Athos,,Koridor,Koridor,26,89 %,8 %,3
8b,Happy End,,Trebenna West,Trebenna West,25,4 %,4 %,4
6c+,Ranger Travel,,Trebenna West Orta,Trebenna West,25,64 %,12 %,3
6c,fiesta,,Magara,Magara,25,100 %,8 %,4
6a,Die Mach Ich,,Gizmo,Gizmo,25,80 %,16 %,4
6a+,Micha,,Geyik,Geyik,25,68 %,0 %,2
7b,Montenegro,,Ottoman,Ottoman,25,52 %,12 %,3
6a+,Pembe Hayaller,,Alabalik Balkon,Alabalik,25,84 %,8 %,1
7b+,Kaybedenler Kulubu,,Ruzgarli Bahce,Rüzgarli Bahçe,25,40 %,16 %,4
7a+,Drop Zone,,Left Cave,Left Cave,25,76 %,4 %,3
6c+,Dance with the goats,,Trebenna east,Trebenna West,25,96 %,16 %,3
6a,60 is the 30,,Trebenna east,Trebenna West,25,88 %,12 %,2
6b,flying dutchman,,Ruzgarli Bahce,Rüzgarli Bahçe,25,88 %,12 %,3
6a+,Für Murat,,Gizmo,Gizmo,24,83 %,0 %,3
5c,Fakir,,Kebap,Kebap,24,96 %,4 %,2
5a,Cosmic power,,Küllüin,Küllüin,24,96 %,0 %,3
6c,Among Friends,,Geyik,Geyik,24,79 %,8 %,3
7a,Fitz Roy,,Patagonia,Patagonia,24,88 %,13 %,3
8b,Moruk,,Laboratuar,laboratuvar,24,4 %,13 %,4
7a,Elif,,Alabalik,Alabalik,24,54 %,0 %,3
6a+,Eclipse 1p,,Trebenna West,Trebenna West,24,92 %,8 %,3
7a,Ten years anniversary,,Unknown Sector,Unknown Sector,24,58 %,8 %,4
7b+,Lemmy,,Barbarossa,Barbarossa,24,21 %,8 %,3
5a,Ith feeling light,,Gizmo,Gizmo,23,87 %,0 %,2
6b+,Who are you,,Trebenna east,Trebenna West,23,78 %,17 %,2
7c+,Porro d'Aqua,,Alabalik,Alabalik,23,22 %,0 %,4
6a,No Name (1. L),,Alabalik,Alabalik,23,100 %,9 %,4
5c,Jass Party (Short),,Ottoman,Ottoman,23,78 %,9 %,2
6a,Lycian Highway - 1st Pitch,,Trebenna West,Trebenna West,23,96 %,17 %,4
5b,Triologie,,Trebenna West,Trebenna West,23,91 %,4 %,4
7a,Jazz Bass,,laboratuvar,laboratuvar,23,57 %,4 %,3
6a+,Sarı dev (1p),,Michi,Michi,22,96 %,14 %,4
7b,Session of happiness,,Anatolia,Anatolia,22,73 %,5 %,2
6a+,Crack Pipe,,Trebenna east,Trebenna West,22,96 %,9 %,4
6b+,Che,,Patagonia,Patagonia,22,77 %,23 %,4
7b,Game of Thrones,,Esekuctu,Esekuctu,22,32 %,0 %,4
6a,outsider,,Trebenna West,Trebenna West,22,96 %,9 %,2
7b+,Comanche,,Koridor,Koridor,22,41 %,9 %,3
7a+,Çok Yoruldum,,Michi,Michi,22,64 %,18 %,4
6c+,Serefe,,Michi,Michi,22,77 %,23 %,4
6b+,Blue attack,,Magara,Magara,22,86 %,5 %,3
6b+,Westend,,Trebenna West Extension,Trebenna West,22,64 %,18 %,4
6c,Alkolika,,Top Alanı,Top Alanı,22,59 %,32 %,4
6b+,Routenflucht,,Cesme,Cesme,21,67 %,14 %,3
6b,Flying Dutchman,,Rüzgarli Bahce Right,Rüzgarli Bahçe,21,71 %,0 %,4
5c,Farketmez,,Cesme,Cesme,21,91 %,5 %,2
5c,Porthos,,Koridor,Koridor,21,86 %,5 %,3
6c+,Verliebt nach Anne,,Deli Kasap,Deli Kasap,21,52 %,14 %,2
7a,Camelita,,Left Cave,Left Cave,21,62 %,14 %,3
6c+,Ushuaia,,Patagonia,Patagonia,21,33 %,10 %,3
6a+,Zengengriff trifft zungenkuss,,Küllüin,Küllüin,21,76 %,5 %,3
6a,Anna ist weg,,Küllüin,Küllüin,21,67 %,5 %,3
6c,Alabalik Extension,,Alabalik,Alabalik,21,76 %,24 %,4
6b+,Havana Club,,Alabalik,Alabalik,20,60 %,10 %,3
6b,Die 5te,,Heart,Heart,20,60 %,5 %,2
6b+,Mum Isiginda Yemek,,Magara,Magara,20,80 %,0 %,3
6c+,"No childs here, please",,Kanyon,Kanyon,20,75 %,10 %,3
6c+,Emekli to Madagaskar,,Güzel Manzara,Güzel Manzara,20,60 %,0 %,2
7a+,L'Empire contre-attaque,,Ottoman,Ottoman,20,70 %,25 %,4
8a,Küçücük,,Mevlana,Mevlana,20,5 %,5 %,3
7c+,Korona,,Trebenna West,Trebenna West,20,45 %,5 %,3
6b,Lanet olsun,,Echoes sağ2,Echoes,20,90 %,5 %,3
8b,Savaşma Seviş,,Akdeniz,Akdeniz,20,0 %,15 %,4
6b,Hansel,,Trebenna,Trebenna West,20,70 %,0 %,3
7c,Ahminelask,,Küllüin,Küllüin,20,20 %,15 %,3
6a+,escobar,,Patagonia,Patagonia,20,95 %,5 %,3
7c,Yankee go home,,Sarkit,Sarkit,20,50 %,0 %,2
8b,Scrotum Maximum,,Ruzgarli Bahce,Rüzgarli Bahçe,20,5 %,10 %,3
4b,5 Gewinnt,,Alabalik,Alabalik,20,90 %,0 %,4
6b,Red Tank,,Trebenna,Trebenna West,20,80 %,15 %,3
7b+,Peugeot J9,,Top Alanı,Top Alanı,20,20 %,10 %,4
7c,Freedom for Boğaziçi,,Anatolia,Anatolia,20,40 %,25 %,4
5b,"California Dreaming, pitch 1",,Left Cave,Left Cave,20,75 %,5 %,3
7b,Mum isiginda yemek (sol/left),,Magara,Magara,19,42 %,0 %,2
7b,O Dolares,,Barbarossa,Barbarossa,19,58 %,5 %,3
7a+,Fragile Dreams,,Sarkit,Sarkit,19,63 %,0 %,2
6c+,Tequila,,Kebap,Kebap,19,42 %,5 %,3
6c,Despacito,,Patagonia,Patagonia,19,68 %,21 %,3
7b+,Omlet,,Mevlana,Mevlana,19,32 %,0 %,3
6c,Rock superstar,,laboratuvar,laboratuvar,19,47 %,5 %,3
6c+,SPIDER SOLITAIRE,,Ottoman,Ottoman,19,90 %,21 %,4
6b,Alter schützt vor Bohrheit nicht,,Gizmo,Gizmo,19,74 %,5 %,3
