grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
5c,Iyi,,Unknown Sector,Unknown Sector,9,78 %,11 %,5
6c,Amazon,,Cesme,Cesme,9,78 %,22 %,5
7a,Due Stazioni,,Alabalik Balkon,Alabalik,9,67 %,0 %,2
6c+,Quantum gigantum,,Güzel Manzara,Güzel Manzara,9,67 %,11 %,4
7a,Atlas,,Küllüin,Küllüin,9,89 %,11 %,3
6c,Babouche Pasa,,Pasa,Pasa,9,78 %,0 %,3
5a,Dali,,Sincap,Sincap,9,89 %,11 %,3
5c,Miss mob,,Sincap,Sincap,9,100 %,0 %,3
6c,Kara Büyü,,Top Alanı sağ,Top Alanı,9,67 %,11 %,3
8a,Minimalist,,Anatolia,Anatolia,9,0 %,0 %,4
6c+,Dave Smith and the german tecno,,Alabalik,Alabalik,9,89 %,0 %,3
7a,Bizim Canimiz Yanmaz Gardas,,Trebenna,Trebenna West,9,67 %,0 %,4
7a,Otolastik,,Rüzgarl? Bahçe,Rüzgarli Bahçe,9,89 %,0 %,3
5b,California dreaming,,Hearth/Left cave,Heart,9,67 %,0 %,4
6b+,Imagination,,Sarkit Left,Sarkit,9,78 %,0 %,3
6b+,Üçkağitçi aşik,,Sarkit,Sarkit,9,100 %,0 %,3
7a,Dustu Dusecek,,Yenicay,Yenicay,9,33 %,11 %,1
6a,Rantanplan,,Gizmo 2,Gizmo,9,89 %,11 %,3
7a+,Save the planet,,Trebenna West,Trebenna West,9,78 %,11 %,3
6a,Runaway,,Gizlibahce,Gizlibahce,9,78 %,33 %,4
6c,Omlet/ Tenten konglomera'da,,Mevlana,Mevlana,9,100 %,33 %,4
6a,Alzheimers Onsight,,Sincap,Sincap,9,89 %,11 %,4
7b+,Aquaduct l2,,Trebenna,Trebenna West,9,33 %,11 %,3
7b+,Insider,,Trebenna West,Trebenna West,9,0 %,22 %,4
6c,Resta,,Sarkit,Sarkit,9,67 %,0 %,4
6b,imagination L1,,Sarkit,Sarkit,9,67 %,0 %,4
7b+,Müdür,,Top Alanı sağ,Top Alanı,9,33 %,11 %,4
5c,Kötü,,Unknown Sector,Unknown Sector,8,75 %,13 %,5
6c+,Tropicana,,Deli Kasap,Deli Kasap,8,38 %,25 %,3
4a,Kurze Romanze,,Gizmo,Gizmo,8,75 %,13 %,2
8a+,Requiem,,Sarkit,Sarkit,8,13 %,0 %,2
7c+,Funky Chicken,,Funky Chicken,Funky Chicken,8,13 %,13 %,4
5c,Have Fun,,Kanyon,Kanyon,8,100 %,13 %,2
5a,M.P.W.,,Gizmo,Gizmo,8,50 %,0 %,3
7c+,Arcteryx,,Alabalik,Alabalik,8,13 %,0 %,5
6c,Tuzdede,,Trebenna,Trebenna West,8,88 %,0 %,4
8a,Pijama Party (ext.),,Anatolia,Anatolia,8,0 %,13 %,4
7c,Kap horn,,Trebenna,Trebenna West,8,38 %,0 %,4
7a,Triologie,,Trebenna West,Trebenna West,8,88 %,0 %,3
4a,Antalya',,Koridor,Koridor,8,88 %,25 %,3
5b,Kind a like van gogh,,Sincap,Sincap,8,88 %,0 %,4
5c,Baklava Blues,,Pasa,Pasa,8,100 %,0 %,0
6a+,Alprösli,,Sandal,Sandal,8,75 %,50 %,4
7a,Soldan 3.,,Esekuctu,Esekuctu,8,75 %,0 %,4
5c,Mandela,,Mandela,Mandela,8,75 %,0 %,3
7a,Willy Wancker,,Trebenna,Trebenna West,8,88 %,0 %,4
5b,Mama Gozleme,,Pasa,Pasa,8,100 %,0 %,0
5c,Sushi,,Gizlibahce,Gizlibahce,8,88 %,25 %,4
6c+,Ne c'est pas bleau,,Rüzgarli Bahçe,Rüzgarli Bahçe,8,50 %,0 %,4
5a,Sheep in the keep,,Alabalik Balkon,Alabalik,8,75 %,25 %,4
7a,Jungle Speed,,Alabalik Balkon,Alabalik,8,63 %,0 %,1
6c+,Second Live,,Trebenna West Extension,Trebenna West,8,63 %,0 %,2
7b,Künefe,,Sandal,Sandal,8,13 %,38 %,4
7a+,right and left to cést pas bleau,,Rüzgarli Bahçe,Rüzgarli Bahçe,8,38 %,38 %,4
7b+,Şeytan Tüyü,,Top Alanı,Top Alanı,8,25 %,13 %,3
8a,Rafsta Games,,Sarkit,Sarkit,8,0 %,13 %,4
6a,Dicke Nudel,,Sincap 3,Sincap,8,100 %,0 %,3
6b+,Bermuda Preieck,,Trebenna east,Trebenna West,8,88 %,0 %,2
6b+,Biscolatta,,Trebenna east,Trebenna West,8,75 %,25 %,4
7c+,Hakuna Matata,,Küllüin,Küllüin,8,0 %,13 %,4
8a+,Rainbow Smile,,Koridor,Koridor,8,0 %,13 %,4
6a,Viva Chavez,,Ottoman,Ottoman,8,75 %,38 %,3
7a,Karinka,,Unknown Sector,Unknown Sector,8,25 %,38 %,4
5c,Kuyruksuz uçurtma,,Top Alanı,Top Alanı,8,100 %,0 %,5
7c,Anarshit varyasyon,,Cesme,Cesme,7,0 %,0 %,3
6a,Cirkin,,Unknown Sector,Unknown Sector,7,57 %,14 %,5
7c+,Scare Face,,Cesme,Cesme,7,0 %,14 %,5
8a+,Cathedral of Dreams,,Gizmo,Gizmo,7,14 %,0 %,4
6a,Pink panter,,Trebenna west sol,Trebenna West,7,57 %,29 %,5
5b,Istanbul,,Gizlibahce,Gizlibahce,7,100 %,29 %,4
7c,Aristokrats,,Top Alanı,Top Alanı,7,14 %,0 %,3
6a+,Kalhi cat (1p),,Trebenna east,Trebenna West,7,71 %,14 %,3
5c,Nord Passat,,Trebenna east,Trebenna West,7,71 %,43 %,4
7a,Bana Gel,,Sandal,Sandal,7,71 %,29 %,4
6a+,No Reservations,,Teras,Teras Left,7,86 %,0 %,1
6a+,Bysance,,Unknown Sector,Unknown Sector,7,100 %,0 %,0
7b+,Sloper Poker,,Alabalik Balkon,Alabalik,7,14 %,0 %,3
6c,Samba Mamba,,Barbarossa,Barbarossa,7,57 %,0 %,1
7c+,White elephant,,Trebenna east,Trebenna West,7,29 %,0 %,4
6a+,Revolverhead,,Turkish Standard,Turkish Standard,7,71 %,0 %,1
6a+,No gear,,Alabalik,Alabalik,7,100 %,0 %,0
7c+,Le coleur d'eau,,Alabalik,Alabalik,7,43 %,0 %,5
8a+,Highline,,Alabalik,Alabalik,7,29 %,14 %,3
7b,Lycian Highway,,Unknown Sector,Unknown Sector,7,29 %,29 %,3
7c+,Game of Throns,,Unknown Sector,Unknown Sector,7,0 %,0 %,4
7c+,Vantuz,,Küllüin,Küllüin,7,0 %,0 %,4
7b,Bakhiti Yoga,,Mevlana,Mevlana,7,57 %,0 %,3
5c,Kopekler Bale Yampaz,,Küllüin,Küllüin,7,86 %,14 %,2
5b,Happy birthday Peter,,Gizmo,Gizmo,7,100 %,0 %,3
7a,Soldan 2.,,Esekuctu,Esekuctu,7,86 %,0 %,3
7a+,L'mpire corne attaque,,Ottoman,Ottoman,7,86 %,0 %,3
7c+,Little Rainbow,,Esekuctu,Esekuctu,7,14 %,0 %,4
6b,N.N.,,Kanyon,Kanyon,7,57 %,14 %,4
6c,No I did not,,Kanyon,Kanyon,7,71 %,14 %,3
8a+,Sin City,,Mevlana,Mevlana,7,0 %,14 %,5
6b,ID,,Kanyon,Kanyon,7,71 %,0 %,3
6a+,Ready for anything,,Kekik,Geyik,7,86 %,14 %,3
6b,Less is More,,Kanyon,Kanyon,7,71 %,14 %,4
6b+,Imagination first pitch,,Sarkit,Sarkit,7,100 %,0 %,4
7b+,Only The Good Die Young,,Michi,Michi,7,57 %,0 %,4
7b+,Bagla,,Kanyon,Kanyon,7,14 %,14 %,3
7c,American Idiot,,Michi,Michi,7,14 %,29 %,4
8a,Whiplash,,Top Alanı sağ,Top Alanı,7,14 %,14 %,4
7a+,Psycho Sheppard,,Unknown Sector,Unknown Sector,7,86 %,43 %,4
7b,Demirkazık,,Poseidon,Poseidon,7,57 %,0 %,3
6a,Banana Monster,,Dragon,Dragon,7,100 %,0 %,3
7b,Ciğerim Söndü,,Top Alanı sağ,Top Alanı,7,57 %,14 %,3
7a,No heroes,,Trebenna West,Trebenna West,6,67 %,17 %,5
8a,Pillar of the Earth,,Gizmo,Gizmo,6,0 %,17 %,3
5c,Rainman,,Gizlibahce,Gizlibahce,6,100 %,0 %,3
6a,Jungle,,Cesme,Cesme,6,100 %,0 %,4
5a,Kleina hexen,,Gizmo,Gizmo,6,100 %,0 %,4
6b+,Trilogie,,Trebenna,Trebenna West,6,100 %,17 %,3
5a,Heavensgate,,Left Cave,Left Cave,6,100 %,17 %,5
7b,Ölü Yatırım,,Top Alanı sağ,Top Alanı,6,17 %,0 %,2
6c+,14/18,,Ottoman,Ottoman,6,67 %,17 %,3
5a,Riot in my Heart,,Kebap,Kebap,6,67 %,0 %,1
6b,N.N.,,Barbarossa,Barbarossa,6,100 %,0 %,3
5c,Tas Osagi,,Ottoman,Ottoman,6,83 %,0 %,5
6c+,Hediye,,Sandal,Sandal,6,50 %,33 %,3
5c,Cin Tonic,,Küllüin,Küllüin,6,100 %,0 %,4
7b,Powerslave,,Anatolia Sag,Anatolia,6,67 %,0 %,4
6a,N.N.,,Anatolia Sag,Anatolia,6,50 %,0 %,0
5b,Pipi Langstrumpf,,Gizmo,Gizmo,6,100 %,0 %,4
7a,Big blind L1,,Sarkit Left,Sarkit,6,50 %,0 %,4
6b,Fado,,Gizmo 3,Gizmo,6,33 %,33 %,3
6c,Problem Yok,,Trebenna,Trebenna West,6,33 %,0 %,2
7a,Red Hot Chili Peppers,,Anatolia,Anatolia,6,67 %,0 %,5
7b+,Dü?tü Dü?ecek,,Yenicay,Yenicay,6,67 %,0 %,1
7a,Bermuda Dreieck,,Trebenna east,Trebenna West,6,50 %,50 %,4
6b+,Lycian Alpinist,,Unknown Sector,Unknown Sector,6,100 %,17 %,3
7c,Cap Horn,,Trebenna east,Trebenna West,6,50 %,0 %,5
6a,Spider Solitaire (Short),,Ottoman,Ottoman,6,67 %,0 %,0
7a+,"Save the planet, kill your self",,Trebene,Trebenna West,6,50 %,0 %,3
5c,Kar Tanesi,,Gizlibahce,Gizlibahce,6,100 %,33 %,5
7c+,Phallus Diaboli,,Trebenna west 3,Trebenna West,6,17 %,17 %,4
6a,Mafia,,Cesme,Cesme,6,100 %,33 %,4
6b+,turkish standart,,Turkish Standard,Turkish Standard,6,33 %,0 %,5
7b,right to cést pas bleau,,Rüzgarli Bahçe,Rüzgarli Bahçe,6,50 %,50 %,4
7b+,Garlik And Chees,,Michi,Michi,6,50 %,17 %,4
8a+,Action Indirect,,Unknown Sector,Unknown Sector,6,17 %,0 %,3
6a+,Deniz,,Top Alanı sağ,Top Alanı,6,83 %,0 %,5
5c,Feine Sahne Fischfilet,,Mandela,Mandela,6,100 %,0 %,3
7a,Antimatter,,Moon,Moon,6,67 %,33 %,4
7a,fingerfood,,Alabalik Balkon,Alabalik,6,50 %,17 %,3
6c+,Limon Ay,,Moon,Moon,6,100 %,17 %,4
6b,Buddha's Revenge,,Moon,Moon,6,67 %,0 %,3
6c,Late Tsunami,,Trebenna West,Trebenna West,6,50 %,0 %,4
7b,Qu'est-ce que c'est extension,,Sarkit,Sarkit,6,50 %,0 %,4
7b+,Sari Dev,,Michi,Michi,6,33 %,17 %,4
6a,Bolder Boyz,,Trebenna east,Trebenna West,6,100 %,0 %,3
6b+,Saxofon,,Unknown Sector,Unknown Sector,6,83 %,67 %,5
6b,Dumplinar,,Mevlana,Mevlana,6,83 %,0 %,4
5c+,Plandemic,,Top Alanı,Top Alanı,6,100 %,0 %,0
7c,Know How,,Kanyon,Kanyon,5,20 %,0 %,5
6c,Skin Hell,,Pasa,Pasa,5,100 %,0 %,0
4a,Carlson vom Dach,,Gizmo,Gizmo,5,80 %,0 %,0
7c+,White Elefant,,Trebenna east,Trebenna West,5,0 %,0 %,4
6a+,Geyikbayiri 'Ndan Charmonix,,Echoes,Echoes,5,100 %,40 %,4
6a,starline,,Trebenna West,Trebenna West,5,100 %,20 %,4
7a+,Montecucco,,Echoes Sag,Echoes,5,20 %,0 %,3
7a,Echoes of the Himalayas,,Echoes,Echoes,5,60 %,0 %,5
6b+,Turkish Standard,,Unknown Sector,Unknown Sector,5,80 %,20 %,5
6c+,Mission to Mars,,Unknown Sector,Unknown Sector,5,20 %,20 %,5
7b+,Sex Pistols,,Barbarossa,Barbarossa,5,20 %,0 %,3
7a+,Bermuda Dreieck Extension,,Trebenna east,Trebenna West,5,60 %,0 %,2
5c,Titrek,,Gizlibahce,Gizlibahce,5,100 %,20 %,5
7a+,End of the innocence,,Ottoman,Ottoman,5,40 %,0 %,3
7b+,N.N.,,Unknown Sector,Unknown Sector,5,100 %,0 %,0
6a+,Julia & Romeo,,Unknown Sector,Unknown Sector,5,60 %,20 %,3
7c,Citdibi,,Citdibi,Citdibi,5,40 %,0 %,4
7b+,Darvin,,Patagonia,Patagonia,5,20 %,20 %,4
6b,24m Chrono,,Alabalik,Alabalik,5,80 %,20 %,3
6b+,Confortable,,Echoes,Echoes,5,80 %,20 %,4
7c+,Sezon Finali,,Küllüin,Küllüin,5,20 %,20 %,4
7c+,Devil dance,,Alabalik,Alabalik,5,0 %,0 %,3
4a,Linneau,,Mandela,Mandela,5,80 %,0 %,3
7b,Celik Kalp extension,,Anatolia,Anatolia,5,20 %,0 %,3
7b+,Black Moon,,Unknown Sector,Unknown Sector,5,40 %,0 %,4
5b,Little Miss Sunshine,,Turkish Standard,Turkish Standard,5,100 %,0 %,2
6b+,Arcadan,,Trebenna West,Trebenna West,5,100 %,0 %,3
6a+,Mucahit,,Mandela,Mandela,5,100 %,0 %,1
6b+,Sxofon,,Unknown Sector,Unknown Sector,5,60 %,0 %,5
7a,Echos of the Andes,,Echoes,Echoes,5,80 %,0 %,0
5c,Dept Punk,,Küllüin,Küllüin,5,60 %,0 %,1
7a+,Monkey maffia,,Turkish Standard,Turkish Standard,5,60 %,0 %,3
6b,Flying Dutchmann,,Ruzgarli Bahce,Rüzgarli Bahçe,5,80 %,0 %,3
7a,Willy Wanker,,Trebenna Ost,Trebenna West,5,80 %,0 %,1
7a+,Big turkey,,Unknown Sector,Unknown Sector,5,60 %,0 %,0
7a+,L empire Ottoman,,Unknown Sector,Unknown Sector,5,60 %,0 %,4
6b,Hürem Sultan,,Barbarossa,Barbarossa,5,100 %,0 %,1
7b+,Maja extension,,Trebenna West,Trebenna West,5,20 %,0 %,3
4a,Raki on the rocks (1p),,Trebenna West,Trebenna West,5,80 %,20 %,4
5c,Ihlamur (1p),,Trebenna east,Trebenna West,5,100 %,20 %,4
6b,between birt and miss piggi,,Kanyon,Kanyon,5,80 %,0 %,5
8c,Forgotten Knight,,laboratuvar,laboratuvar,5,0 %,40 %,3
7b+,Drama Queen,,Sarkit,Sarkit,5,20 %,0 %,3
7b+,Airbnb Çılgınlığı,,Top Alanı,Top Alanı,5,0 %,0 %,4
7b+,Gladutschki,,Sarkit,Sarkit,5,60 %,20 %,4
7b+,Kaptan Hook,,Citdibi,Citdibi,5,60 %,0 %,4
7c+,Django,,Akdeniz,Akdeniz,5,0 %,0 %,4
6a,Allaaddin,,Alaaddin,Alaaddin,5,40 %,0 %,0
5c,Brio de Flamenco (L1),,Barbarossa,Barbarossa,5,80 %,0 %,0
5b,From Ashes Rise,,Unknown Sector,Unknown Sector,5,100 %,40 %,4
6a+,CITY WATCH,,Güzel Manzara,Güzel Manzara,5,60 %,20 %,5
7b+,Just smile,,Sarkit,Sarkit,5,40 %,0 %,4
6c,Berberlerin Krali,,Ottoman,Ottoman,5,40 %,20 %,3
5c,Brio de Flamenco (L1),,Barbarossa,Barbarossa,5,80 %,0 %,0
7a+,Grill Instructor,,Sarkit,Sarkit,5,80 %,0 %,4
7b+,Antalya için 747 nolu uçuş (ext.),,Mevlana,Mevlana,5,40 %,0 %,3
6c+,Waiting for Holidays,,Unknown Sector,Unknown Sector,5,80 %,20 %,3
5a,Toki,,Unknown Sector,Unknown Sector,5,60 %,0 %,0
6b+,N.N.,,Barbarossa,Barbarossa,5,60 %,40 %,5
6b,Beyas gelin,,Unknown Sector,Unknown Sector,4,100 %,0 %,3
7a,cennet cehennem,,Antalya,Anatolia,4,25 %,0 %,3
6a,PH 43,,Gizlibahce,Gizlibahce,4,100 %,0 %,5
6c,N.N.,,Turkish Standard,Turkish Standard,4,75 %,0 %,4
5b,Roots of stone love,,Güzel Manzara,Güzel Manzara,4,100 %,50 %,3
7b+,Absinth,,Sandal,Sandal,4,25 %,25 %,4
8a+,Ceneni kapat ve op,,Unknown Sector,Unknown Sector,4,25 %,0 %,3
6c+,Left to the Sucker Punched,,Trebenna West,Trebenna West,4,75 %,0 %,3
6b+,Barbarossa 14,,Barbarossa,Barbarossa,4,100 %,0 %,0
5c,Predators (1p),,Trebenna east,Trebenna West,4,100 %,25 %,4
5a,In love Maria luise,,Gizmo,Gizmo,4,100 %,0 %,0
5b,3D Channe,,Teras,Teras Left,4,50 %,0 %,3
6a,In The Night,,Unknown Sector,Unknown Sector,4,50 %,25 %,3
8a+,Storm,,Oekuezini,Oekuezini,4,50 %,25 %,5
6b+,Tatoo,,Mevlana,Mevlana,4,75 %,0 %,3
6b,Tesoro mio,,Sandal,Sandal,4,75 %,50 %,4
6a+,N.N.,,Esekuctu,Esekuctu,4,100 %,25 %,4
8a+,Ceneni kapat ve op,,Unknown Sector,Unknown Sector,4,25 %,0 %,3
8c+,Rock Erotic,,Alabalik,Alabalik,4,0 %,25 %,4
6c+,Mezarlariniza Tükürecegim,,Anatolia,Anatolia,4,100 %,25 %,4
5c,Souvernir Malgache,,Barbarossa,Barbarossa,4,100 %,0 %,2
6b,voie de droite,,Trebenna,Trebenna West,4,75 %,0 %,0
7a,x,,Unknown Sector,Unknown Sector,4,25 %,0 %,0
7c,Boriinator,,kaplumbağa,kaplumbağa,4,0 %,25 %,5
6c+,gonul gozu,,Citdibi,Citdibi,4,100 %,0 %,3
7b,Climbing Trip,,Citdibi,Citdibi,4,50 %,0 %,4
7c+,Dionysis,,Poseidon,Poseidon,4,0 %,0 %,3
7c+,Trio de ligoville,,Unknown Sector,Unknown Sector,4,0 %,0 %,4
7a,barbabas,,Mevlana,Mevlana,4,75 %,0 %,5
7a,Sunexpress,,Turkish Standard,Turkish Standard,4,50 %,0 %,0
7a,Otolastik,,Unknown Sector,Unknown Sector,4,75 %,0 %,5
6c,te last world,,Toki,Toki,4,75 %,0 %,0
7a,Nasty,,Citdibi,Citdibi,4,100 %,0 %,1
6a,Shaufel St. Fuhre,,Gizlibahce,Gizlibahce,4,50 %,0 %,5
7c,Bad boys in town,,Mevlana,Mevlana,4,0 %,0 %,0
7a+,Türkiyeye,,Mevlana,Mevlana,4,100 %,0 %,0
7c+,High Hppes,,Sarkit,Sarkit,4,25 %,0 %,4
7b,Judas,,Unknown Sector,Unknown Sector,4,25 %,0 %,4
6b+,Kayıp Dünya,,Toki,Toki,4,75 %,0 %,3
6b+,saksafon,,Sarkit,Sarkit,4,0 %,0 %,0
7a,Squuirrel nut zippers,,Akdeniz,Akdeniz,4,25 %,0 %,5
5c,Butterfly boulvard,,Alabalik Balkon,Alabalik,4,75 %,0 %,0
6c+,Chilli con pillar,,Alabalik,Alabalik,4,75 %,0 %,0
6c,Auf Nach Madagaskar,,Güzel Manzara,Güzel Manzara,4,100 %,25 %,5
8a+,rocky,,esek uctu,Esekuctu,4,0 %,0 %,5
6c,angel wıng,,Küllüin,Küllüin,4,50 %,0 %,4
6a,Pempe Hayaller,,Alabalik Balkon,Alabalik,4,100 %,25 %,4
7a,Imagination,,Unknown Sector,Unknown Sector,4,25 %,0 %,3
7b+,Absinth,,Sandal,Sandal,4,25 %,25 %,4
7a,N.N.,,Ruzgarli Bahce,Rüzgarli Bahçe,4,75 %,0 %,4
7c+,High Hppes,,Sarkit,Sarkit,4,25 %,0 %,4
7b,Judas,,Unknown Sector,Unknown Sector,4,25 %,0 %,4
6b+,Kayıp Dünya,,Toki,Toki,4,75 %,0 %,3
6b+,saksafon,,Sarkit,Sarkit,4,0 %,0 %,0
7a,Squuirrel nut zippers,,Akdeniz,Akdeniz,4,25 %,0 %,5
5c,Butterfly boulvard,,Alabalik Balkon,Alabalik,4,75 %,0 %,0
6c+,Chilli con pillar,,Alabalik,Alabalik,4,75 %,0 %,0
6c,Auf Nach Madagaskar,,Güzel Manzara,Güzel Manzara,4,100 %,25 %,5
8a+,rocky,,esek uctu,Esekuctu,4,0 %,0 %,5
6c,angel wıng,,Küllüin,Küllüin,4,50 %,0 %,4
6a,Pempe Hayaller,,Alabalik Balkon,Alabalik,4,100 %,25 %,4
6c+,Ruzgarli bache,,Ruzgarli Bahce,Rüzgarli Bahçe,4,100 %,0 %,1
6c+,Siri Birthday Project,,Unknown Sector,Unknown Sector,4,75 %,0 %,4
8b,Rocky 2,,esek uctu,Esekuctu,4,0 %,0 %,5
5a,In love Maria luise,,Gizmo,Gizmo,4,100 %,0 %,0
5b,3D Channe,,Teras,Teras Left,4,50 %,0 %,3
6a,In The Night,,Unknown Sector,Unknown Sector,4,50 %,25 %,3
7a+,Euro 17,,Top Alanı sağ,Top Alanı,4,75 %,0 %,5
7b,Jakuzi,,Sarkit,Sarkit,4,0 %,0 %,5
6b,Kathi Cat (frist pitch),,Trebenna east,Trebenna West,4,75 %,0 %,3
6a,Sailerin Sultani,,Barbarossa,Barbarossa,4,100 %,0 %,0
7b,Jakuzi,,Sarkit,Sarkit,4,0 %,0 %,5
6b+,Le Bombe Bleu,,Poseidon,Poseidon,4,100 %,25 %,4
6b,Kathi Cat (frist pitch),,Trebenna east,Trebenna West,4,75 %,0 %,3
6c,Takla ilahi,,Gizlibahce,Gizlibahce,4,75 %,25 %,4
5c,Qu'est-ce que c'est,,Sarkit,Sarkit,4,75 %,0 %,0
7b,Yuri Baba,,Unknown Sector,Unknown Sector,4,25 %,25 %,5
6a,No Name,,Anatolia,Anatolia,4,100 %,0 %,4
6b,Code of Ethics,,Top Alanı,Top Alanı,4,75 %,25 %,5
6b,Gremmlins Cave,,Heart,Heart,3,100 %,0 %,3
7b,Hotel Blue,,Ottoman,Ottoman,3,33 %,0 %,5
8b,Lost in Translation,,Unknown Sector,Unknown Sector,3,0 %,0 %,3
8a+,rido 20,,okuzini cave,okuzini cave,3,0 %,67 %,3
7b+,the bolt the beautiful,,Kekik,Geyik,3,33 %,0 %,0
5b,Pipi,,Gizmo,Gizmo,3,100 %,0 %,0
7b,Demir Kazik,,Unknown Sector,Unknown Sector,3,100 %,0 %,5
7c,First Klaas,,Unknown Sector,Unknown Sector,3,67 %,0 %,5
7a+,Torros,,Poseidon,Poseidon,3,33 %,33 %,5
4c,raki,,Unknown Sector,Unknown Sector,3,100 %,0 %,0
6b,les portes des pondes,,Toki,Toki,3,100 %,0 %,0
6a+,Hailifenin Yerindeki Halife,,Barbarossa,Barbarossa,3,67 %,0 %,3
7b,Neptun,,Poseidon,Poseidon,3,0 %,0 %,1
6a,Sut cucugu,,Sarkit,Sarkit,3,100 %,0 %,3
7a+,Hand Boiled Wonderful,,Kekik,Geyik,3,100 %,0 %,0
7c+,Full attack,,Unknown Sector,Unknown Sector,3,67 %,0 %,5
7c,üçkağıtcı aşk,,Unknown Sector,Unknown Sector,3,100 %,0 %,3
7a,Tesaduf,,Alabalik,Alabalik,3,67 %,33 %,5
4b,N.N.,,Kebap,Kebap,3,100 %,0 %,3
7b,N.N.,,Caglarca,Caglarca,3,100 %,0 %,5
7c,31,,Anatolia,Anatolia,3,33 %,0 %,5
8a,Orient Express Extension,,Trebenna West,Trebenna West,3,0 %,33 %,4
7b+,Soldan 8.,,Esekuctu,Esekuctu,3,67 %,0 %,5
7b,Müren,,Unknown Sector,Unknown Sector,3,33 %,0 %,0
7b+,Gladutschki,,Unknown Sector,Unknown Sector,3,33 %,33 %,5
7a+,Jaja city,,Unknown Sector,Unknown Sector,3,100 %,33 %,0
7b,N.N.,,Unknown Sector,Unknown Sector,3,67 %,0 %,0
6a+,Echos of the Himalaya,,Echoes,Echoes,3,100 %,0 %,0
6a+,Revolverheld,,Unknown Sector,Unknown Sector,3,67 %,0 %,3
7b,N.N.,,esek uctu,Esekuctu,3,67 %,0 %,3
7a,oto lastik,,Unknown Sector,Unknown Sector,3,33 %,0 %,4
7c,N.N.,,Esekuctu,Esekuctu,3,0 %,0 %,0
6b,N.N. (New Route Right of Scorpion),,Gizmo,Gizmo,3,100 %,0 %,0
6c+,C'est ne pas bleau,,Rüzgarli Bahçe,Rüzgarli Bahçe,3,33 %,0 %,1
7a,Terazi Lastik Jimnastik,,Unknown Sector,Unknown Sector,3,33 %,0 %,5
5c,Alaaddinin lambasi,,Sarkit,Sarkit,3,100 %,0 %,1
6b,ucanteneke,,Magara,Magara,3,67 %,0 %,0
6b+,Empire Byzantine L1,,Ottoman,Ottoman,3,67 %,0 %,5
6b+,Little Miss Sunshine Ext,,Sarkit,Sarkit,3,67 %,0 %,0
7a,En soldaki...,,Esekuctu,Esekuctu,3,67 %,0 %,3
6a+,California dreaming ext.,,Hearth/Left cave,Heart,3,100 %,0 %,3
6c+,Chili von pilar,,Alabalik,Alabalik,3,100 %,0 %,5
7a+,zalis,,Sarkit,Sarkit,3,100 %,0 %,4
6c,Latte Tsunami,,Unknown Sector,Unknown Sector,3,100 %,0 %,5
6c+,Rüzgarli Bahce,,Unknown Sector,Unknown Sector,3,100 %,0 %,5
6b+,Waiting for holydays,,Trebena,Trebenna West,3,100 %,0 %,0
7a,Augustos Böcegi,,Magara,Magara,3,67 %,0 %,0
6b+,Aquaduct 1SL,,Trebenna,Trebenna West,3,33 %,0 %,0
7b,Greek Gift,,Unknown Sector,Unknown Sector,3,33 %,33 %,5
7b+,Star Wars,,Unknown Sector,Unknown Sector,3,33 %,0 %,0
6c,aladağlar,,Ottoman,Ottoman,3,33 %,33 %,3
7a+,zalis,,Sarkit,Sarkit,3,100 %,0 %,4
6c,Latte Tsunami,,Unknown Sector,Unknown Sector,3,100 %,0 %,5
6c+,Rüzgarli Bahce,,Unknown Sector,Unknown Sector,3,100 %,0 %,5
6b+,Waiting for holydays,,Trebena,Trebenna West,3,100 %,0 %,0
7a,Augustos Böcegi,,Magara,Magara,3,67 %,0 %,0
6b+,Aquaduct 1SL,,Trebenna,Trebenna West,3,33 %,0 %,0
7b,Greek Gift,,Unknown Sector,Unknown Sector,3,33 %,33 %,5
7b+,Star Wars,,Unknown Sector,Unknown Sector,3,33 %,0 %,0
6c,aladağlar,,Ottoman,Ottoman,3,33 %,33 %,3
7a+,Lycian alpinist,,Trebenna West Orta,Trebenna West,3,67 %,33 %,3
4b,Cosmic girl,,Sarkit Left,Sarkit,3,100 %,0 %,5
6c,Akintiya Karsi Y�zmek,,Alabalik,Alabalik,3,100 %,0 %,3
4b,Kinetik Concert,,Left Cave,Left Cave,3,100 %,0 %,5
7b,Ottoman?,,Ottoman,Ottoman,3,100 %,0 %,0
6b+,Gangsterbraut,,Unknown Sector,Unknown Sector,3,67 %,0 %,3
6c+,Live is good,,Dragon,Dragon,3,100 %,0 %,4
6b+,Inspiration,,Kanyon,Kanyon,3,33 %,33 %,4
7b,Toxic Gravity,,Unknown Sector,Unknown Sector,3,33 %,0 %,3
6a,Triologie,,Trebenna West 4,Trebenna West,3,67 %,33 %,0
6b+,Grash�pfer,,Trebenna West,Trebenna West,3,100 %,0 %,3
7b+,Saklıkent,,Unknown Sector,Unknown Sector,3,67 %,0 %,4
7b,Poseidon,,Unknown Sector,Unknown Sector,3,0 %,0 %,4
7c+,Horny Horse Extension,,Trebenna West,Trebenna West,3,0 %,0 %,4
8c,Aquaduct l3,,Trebenna West,Trebenna West,3,0 %,67 %,4
7a+,Çölde Çay,,Küllüin,Küllüin,3,0 %,0 %,4
